episode,return,length,timesteps
0,1.2763755321502686,478,478
1,-1.150615930557251,545,1023
2,0.05765216797590256,141,1164
3,-6.711519718170166,276,1440
4,-11.324472427368164,342,1782
5,0.05336549133062363,211,1993
6,-8.734341621398926,502,2495
7,-7.135118007659912,338,2833
8,-6.054229736328125,376,3209
9,-5.721366882324219,323,3532
10,-9.536796569824219,280,3812
11,-5.741218090057373,283,4095
12,-4.536956787109375,330,4425
13,-3.213902235031128,260,4685
14,-4.713392734527588,343,5028
15,-9.547770500183105,291,5319
16,0.10836382210254669,267,5586
17,-12.710693359375,219,5805
18,-2.6486165523529053,238,6043
19,-7.750953674316406,222,6265
20,-4.755420684814453,225,6490
21,-2.5358383655548096,227,6717
22,-3.423835277557373,220,6937
23,-6.251454830169678,238,7175
24,-4.292692184448242,228,7403
25,-3.67793607711792,230,7633
26,-4.053911209106445,214,7847
27,-1.8651723861694336,359,8206
28,-4.72013521194458,246,8452
29,-3.172645330429077,214,8666
30,-3.6446330547332764,213,8879
31,-2.6799962520599365,211,9090
32,-7.028438091278076,255,9345
33,-2.6075119972229004,206,9551
34,-3.2330515384674072,216,9767
